id,topic,from,to,contents,date,type,party,state,constituency,constituency_type
24,Skill Development Projects in Ranchi,"['Seth, Shri Sanjay']",SKILL DEVELOPMENT AND ENTREPRENEURSHIP,Will the Minister of SKILL DEVELOPMENT AND ENTREPRENEURSHIP be pleased to state: (a) number of projects related to skill development being run in Ranchi Lok Sabha Constituency; (b) the amount spent during in the last two years and number of institutes that are running under these projects; and (c) numbers of youth trained under the skill development projects alongwith the details of the companies where they got placement?,2021-11-29,UNSTARRED,['Bharatiya Janata Party'],['Jharkhand'],['Ranchi'],['']
25,Setting up of Science Centre in Andhra Pradesh,"['Margani, Shri Bharat Ram']",CULTURE,"Will the Minister of CULTURE be pleased to state: (a) the time by which the Ministry proposes to set up a Science Centre at Rajahmundry in Andhra Pradesh; (b) the target date of completion and the initial estimated expenditure; (c) whether there is any time and cost overrun; (d) if so, the details thereof; (e) whether the project is on course to be completed before the deadline of August, 2022; and (f) if not, the reasons therefor?",2021-11-29,UNSTARRED,['Yuvajana Sramika Rythu Congress Party'],['Andhra Pradesh'],['Rajahmundry'],['']
26,Gender Disparity in terms of Literacy Rate,"['Ray, Smt. Sandhya', 'Solanky, Shri Mahendra Singh', 'Chaudhary, Shri P.P.', 'Singh, Shri Rajbahadur', 'Yadav, Dr. Krishnapal Singh']",EDUCATION,"Will the Minister of EDUCATION be pleased to state: (a) whether as per the NSSO report Uttar Pradesh, Madhya Pradesh and Rajasthan have the biggest gender divide in terms of literacy rate; (b) if so, the reasons thereof; (c) whether the Government has taken any initiatives to curb the gender literacy divide in above States; (d) if so, the details thereof and if not, the reasons therefor; (e) whether Gross Enrolment Ratio of females in schools and colleges has seen a decline in the past 3 years owing to the pandemic and if so, thereof; and (f) the district-wise data for enrolment of girls in schools in above mentioned States?",2021-11-29,UNSTARRED,"['Bharatiya Janata Party', 'Bharatiya Janata Party', 'Bharatiya Janata Party', 'Bharatiya Janata Party', 'Bharatiya Janata Party']","['Madhya Pradesh', 'Madhya Pradesh', 'Rajasthan', 'Madhya Pradesh', 'Madhya Pradesh']","['Bhind', 'Dewas', 'Pali', 'Sagar', 'Guna']","['SC', 'SC', '', '', '']"
27,Capacity Building in Green Finance,"['Dharmapuri, Shri Arvind']",FINANCE,Will the Minister of FINANCE be pleased to state: (a) whether the Government has taken any initiatives for capacity building in Green Finance during the last five years; (b) if so details thereof; and (c) the details of the partnerships with private companies and the Government for sustainable mobility in the last ten years?,2021-11-29,UNSTARRED,['Bharatiya Janata Party'],['Telangana'],['Nizamabad'],['']
28,Changes in Forest Conservation Act,"['V.K. Sreekandan, Shri']","ENVIRONMENT, FOREST AND CLIMATE CHANGE","Will the Minister of ENVIRONMENT, FOREST AND CLIMATE CHANGE , be pleased to state: (a) whether it is a fact that the Government is considering making changes to the existing Forest Conservation Act; (b) if so, the details thereof; (c) whether it is also true that the agencies involved in national security projects and border infrastructure projects obtain prior forest clearance from the Government; 6 (d) whether it is also a fact that the Government is considering adding clauses concerning punishments and for penal compensation; and (e) if so, the details thereof?",2021-11-29,UNSTARRED,['Indian National Congress'],['Kerala'],['Palakkad'],['']
29,Climate Vulnerability Index,"['Shukla, Shri Ravi Kishan', 'Pathak, Shri Subrat', 'Mahato, Shri Bidyut Baran', 'Gupta, Shri Sudheer', 'Mandlik, Prof. Sanjay Sadashivrao', 'Barne, Shri Shrirang Appa', 'Jadhav, Shri Prataprao', 'Tiwari, Shri Manoj Kumar']","ENVIRONMENT, FOREST AND CLIMATE CHANGE","Will the Minister of ENVIRONMENT, FOREST AND CLIMATE CHANGE , be pleased to state: (a) whether as per the report of Climate Vulnerability Index published by the Council on Energy, Environment and Water that 80 percent of the Indian people across various states live in dangerous districts and if so, the details thereof and the reasons for the same; (b) whether it is true that out of 640 districts of the country, 463 districts are vulnerable to extreme flood, drought and cyclone and out of these 45 percent are facing changes in basic structure and if so, the details thereof; (c) whether the Government proposes to set up a new climate risk commission at the district level to prevent the physical and ecological basic structure from the danger of climate change; (d) if so, the steps taken by the Government in this regard; and (e) whether as per the report, only fewer districts have District Disaster Management Plan(DDMP) with them and if so, the details thereof and the steps taken by the Government to set up DDMP in more districts?",2021-11-29,UNSTARRED,"['Bharatiya Janata Party', 'Bharatiya Janata Party', 'Bharatiya Janata Party', 'Bharatiya Janata Party', 'Shiv Sena', 'Shiv Sena', 'Shiv Sena', 'Bharatiya Janata Party']","['Uttar Pradesh', 'Uttar Pradesh', 'Jharkhand', 'Madhya Pradesh', 'Maharashtra', 'Maharashtra', 'Maharashtra', 'NCT of Delhi']","['Gorakhpur', 'Kannauj', 'Jamshedpur', 'Mandsour', 'Kolhapur', 'Maval', 'Buldhana', 'North East Delhi']","['', '', '', '', '', '', '', '']"
30,GST Compensation,"['Rangaiah, Shri Talari', 'Madhav, Shri Kuruva Gorantla', 'Reddy, Shri P.V. Midhun', 'Reddy, Shri Pocha Brahmananda', 'Reddy, Shri Magunta Sreenivasulu', 'Beesetti , Dr. Venkata Satyavathi', 'Chinta Anuradha, Smt.']",FINANCE,"Will the Minister of FINANCE be pleased to state: (a) whether the Government has released the Goods and Services Tax (GST) compensation to the States recently; (b) if so, the details thereof; . (c) whether any back to back loan amount has been released in view of the shortfall in GST compensation during the current financial year; and (d) if so, the details thereof?",2021-11-29,UNSTARRED,"['Yuvajana Sramika Rythu Congress Party', 'Yuvajana Sramika Rythu Congress Party', 'Yuvajana Sramika Rythu Congress Party', 'Yuvajana Sramika Rythu Congress Party', 'Yuvajana Sramika Rythu Congress Party', 'Yuvajana Sramika Rythu Congress Party', 'Yuvajana Sramika Rythu Congress Party']","['Andhra Pradesh', 'Andhra Pradesh', 'Andhra Pradesh', 'Andhra Pradesh', 'Andhra Pradesh', 'Andhra Pradesh', 'Andhra Pradesh']","['Anantapur', 'Hindupur', 'Rajampet', 'Nandyal', 'Ongole', 'Anakapalle', 'Amalapuram']","['', '', '', '', '', '', 'SC']"
31,Digi Saksham Programme,"['Mahato, Shri Bidyut Baran', 'Mandlik, Prof. Sanjay Sadashivrao', 'Pathak, Shri Subrat', 'Gupta, Shri Sudheer', 'Barne, Shri Shrirang Appa', 'Jadhav, Shri Prataprao', 'Kachhadiya, Shri Naranbhai Bhikhabhai', 'Patel, Shri Parbatbhai Savabhai', 'Tiwari, Shri Manoj Kumar']",LABOUR AND EMPLOYMENT,"Will the Minister of LABOUR AND EMPLOYMENT be pleased to state: (a) whether the Government has launched any Digi Saksham Programme recently in joint venture with Microsoft India; (b) if so, the details thereof and the key fact or salient features of the said programme; (c) whether the Government proposes to provide free of cost training to rural youth in the field of digital skills including basic skills and advance computing through National Career Service Portal and if so, the details thereof and the steps taken in this regard; (d) whether the Government is also considering free of cost training to disadvantaged group of the society who have been adversely affected by the ongoing Covid- 19 pandemic and if so, the details thereof; (e) the details of funds sanctioned and released under the said programme during the current year; and (f) the number of youths, particularly from rural areas who get benefitted by the training under the said programme?",2021-11-29,UNSTARRED,"['Bharatiya Janata Party', 'Shiv Sena', 'Bharatiya Janata Party', 'Bharatiya Janata Party', 'Shiv Sena', 'Shiv Sena', 'Bharatiya Janata Party', 'Bharatiya Janata Party', 'Bharatiya Janata Party']","['Jharkhand', 'Maharashtra', 'Uttar Pradesh', 'Madhya Pradesh', 'Maharashtra', 'Maharashtra', 'Gujarat', 'Gujarat', 'NCT of Delhi']","['Jamshedpur', 'Kolhapur', 'Kannauj', 'Mandsour', 'Maval', 'Buldhana', 'Amreli', 'Banaskantha', 'North East Delhi']","['', '', '', '', '', '', '', '', '']"
32,Inclusion of Shirdi Dham in Central Tourism List,"['Lokhande, Shri Sadashiv Kisan']",TOURISM,"Will the Minister of TOURISM be pleased to state: (a) whether the Union Government has taken or proposes to take any steps to include world famous Shirdi Dham and Shani Singnapur located in Ahmednagar district of Maharashtra in the Central list of Tourism while developing the said sites and places for tourists; and (b) if so, the details thereof?",2021-11-29,UNSTARRED,['Shiv Sena'],['Maharashtra'],['Shirdi'],['SC']
33,Samagra Shiksha Abhiyan,"['Gupta, Shri Sangamlal Kadedin', 'Solanky, Shri Mahendra Singh', 'Chaudhary, Shri P.P.', 'Ray, Smt. Sandhya', 'Yadav, Dr. Krishnapal Singh']",EDUCATION,"Will the Minister of EDUCATION be pleased to state: (a) the details of aims, objectives, goals and interventions of Samagra Shiksha Abhiyan 2.0; (b) whether under the Samagra Shiksha Abhiyan 2.0 the Government is planning to provide direct financial assistance to students; (c) if so, the details thereof; (d) whether there are provisions under the scheme for facilitation of digital boards and virtual classrooms owing to the current digitisation of education; and (e) if so, the details thereof?",2021-11-29,UNSTARRED,"['Bharatiya Janata Party', 'Bharatiya Janata Party', 'Bharatiya Janata Party', 'Bharatiya Janata Party', 'Bharatiya Janata Party']","['Uttar Pradesh', 'Madhya Pradesh', 'Rajasthan', 'Madhya Pradesh', 'Madhya Pradesh']","['Pratapgarh', 'Dewas', 'Pali', 'Bhind', 'Guna']","['', 'SC', '', 'SC', '']"
34,Pre-2016  Pensioners,"['Natarajan, Shri P.R.']",EDUCATION,"Will the Minister of EDUCATION be pleased to state: (a) the number of pre-2016 pensioners of higher educational institutions of Avinashilingam Higher Studies University at Coimbatore in Tamil Nadu; (b) whether the pension arrears of these penserions have not been paid till date; (c) if so, the details thereof; and (d) the steps taken or proposed to be taken by the Government for the settlement of pension arrear of these pensioners?",2021-11-29,UNSTARRED,['Communist Party of India (Marxist)'],['Tamil Nadu'],['Coimbatore'],['']
35,Competition Law Review Committee,"['Rajoria, Dr. Manoj']",CORPORATE AFFAIRS,"Will the Minister of CORPORATE AFFAIRS be pleased to state: (a) the efforts being made by the Government for better competition laws for promoting better mechanism in corporate sector in view of the sharp growth in Indian economy; (b) the alternatives suggested in this regard by the competition law review committee constituted under the chairmanship of the Secretary, Ministry of Corporate Affairs in October, 2018 in this regard; and (c) the details of the points reviewed or being reviewed by the committee?",2021-11-29,UNSTARRED,['Bharatiya Janata Party'],['Rajasthan'],['Karauli-Dholpur'],['SC']
36,Assessment of Impact of Air Pollution on Tourism,"['K. Navas, Shri Kani']",TOURISM,"Will the Minister of TOURISM be pleased to state: (a) whether the Government has made any assessment of the impact of air pollution on tourism; (b) if so, the details thereof; (c) whether it has come to the notice of the Government that the tourists are experiencing health issues due to pollution; (d) if so, the details thereof; and (e) the measures taken by the Government in this regard?",2021-11-29,UNSTARRED,['Indian Union Muslim League'],['Tamil Nadu'],['Ramanathapuram'],['']
